# Converted from gridded data
   l    m 	C	Standard_Deviation
  27   12   0.00640072   0.00000000
  27   13   0.00410731   0.00000000
  27   14   0.00601113   0.00000000
  27   15   0.00376920   0.00000000
  27   16  -0.00282280   0.00000000
  27   17  -0.00207466   0.00000000
  27   18  -0.00518402   0.00000000
  27   19   0.00662052   0.00000000
  27   20   0.00958931   0.00000000
  27   21  -0.00204220   0.00000000
  27   22  -0.00270352   0.00000000
  27   23  -0.00303846   0.00000000
  27   24  -0.01018822   0.00000000
  27   25  -0.00505476   0.00000000
  27   26  -0.00558995   0.00000000
  27   27   0.00003916   0.00000000
  28  -28   0.01245998   0.00000000
  28  -27   0.00430280   0.00000000
  28  -26  -0.00821182   0.00000000
  28  -25   0.00262433   0.00000000
  28  -24   0.00459270   0.00000000
  28  -23   0.00039678   0.00000000
  28  -22  -0.00542986   0.00000000
  28  -21   0.00701665   0.00000000
  28  -20   0.01009728   0.00000000
  28  -19   0.00049278   0.00000000
  28  -18  -0.00953806   0.00000000
  28  -17  -0.00709309   0.00000000
  28  -16   0.00180913   0.00000000
  28  -15   0.00181280   0.00000000
  28  -14  -0.00401632   0.00000000
  28  -13   0.00086942   0.00000000
  28  -12   0.00344352   0.00000000
  28  -11   0.00142746   0.00000000
  28  -10   0.01512787   0.00000000
  28   -9   0.00122577   0.00000000
  28   -8  -0.00147469   0.00000000
  28   -7   0.00574959   0.00000000
  28   -6  -0.00016546   0.00000000
  28   -5   0.00002731   0.00000000
  28   -4   0.00991024   0.00000000
  28   -3  -0.00233098   0.00000000
  28   -2  -0.00977840   0.00000000
  28   -1  -0.00185023   0.00000000
  28    0  -0.00384134   0.00000000
  28    1   0.00148763   0.00000000
  28    2  -0.00276891   0.00000000
  28    3   0.00270703   0.00000000
  28    4   0.00826002   0.00000000
  28    5  -0.00328312   0.00000000
  28    6  -0.00236682   0.00000000
  28    7  -0.00677123   0.00000000
  28    8   0.00784569   0.00000000
  28    9  -0.00231967   0.00000000
  28   10  -0.00126568   0.00000000
  28   11   0.00296699   0.00000000
  28   12  -0.00800047   0.00000000
  28   13   0.00630760   0.00000000
  28   14  -0.00565170   0.00000000
  28   15  -0.00364435   0.00000000
  28   16  -0.01034483   0.00000000
  28   17  -0.00202825   0.00000000
  28   18   0.00250810   0.00000000
  28   19  -0.00516680   0.00000000
  28   20  -0.00898518   0.00000000
  28   21   0.00471944   0.00000000
  28   22   0.00375996   0.00000000
  28   23   0.00054607   0.00000000
  28   24   0.00314677   0.00000000
  28   25  -0.00328445   0.00000000
  28   26  -0.00700876   0.00000000
  28   27  -0.00297070   0.00000000
  28   28   0.00757676   0.00000000
  29  -29   0.00585474   0.00000000
  29  -28   0.00375334   0.00000000
  29  -27   0.00717932   0.00000000
  29  -26  -0.00728656   0.00000000
  29  -25   0.00080655   0.00000000
  29  -24  -0.01217784   0.00000000
  29  -23   0.00411275   0.00000000
  29  -22   0.00324228   0.00000000
  29  -21   0.00627646   0.00000000
  29  -20   0.00056867   0.00000000
  29  -19   0.00567046   0.00000000
  29  -18  -0.00337528   0.00000000
  29  -17  -0.00884466   0.00000000
  29  -16  -0.00207778   0.00000000
  29  -15  -0.01204620   0.00000000
  29  -14  -0.00175212   0.00000000
  29  -13   0.00368078   0.00000000
  29  -12  -0.00154984   0.00000000
  29  -11   0.01988195   0.00000000
  29  -10  -0.00830028   0.00000000
  29   -9  -0.00177613   0.00000000
  29   -8  -0.00353451   0.00000000
  29   -7   0.00299119   0.00000000
  29   -6   0.00425893   0.00000000
  29   -5   0.00405154   0.00000000
  29   -4  -0.00057774   0.00000000
  29   -3  -0.00669147   0.00000000
  29   -2  -0.00755161   0.00000000
  29   -1   0.00774655   0.00000000
  29    0   0.00036554   0.00000000
  29    1  -0.01186654   0.00000000
  29    2   0.00030994   0.00000000
  29    3   0.00098159   0.00000000
  29    4  -0.00396466   0.00000000
  29    5  -0.00004421   0.00000000
  29    6  -0.00969011   0.00000000
  29    7   0.00556962   0.00000000
  29    8  -0.01594228   0.00000000
  29    9   0.00657285   0.00000000
  29   10   0.01182089   0.00000000
  29   11  -0.00032035   0.00000000
  29   12  -0.00197306   0.00000000
  29   13  -0.00644702   0.00000000
  29   14   0.00486142   0.00000000
  29   15  -0.00443341   0.00000000
  29   16  -0.00125230   0.00000000
  29   17  -0.00868024   0.00000000
  29   18   0.00377327   0.00000000
  29   19  -0.00194993   0.00000000
  29   20  -0.00959341   0.00000000
  29   21  -0.00881111   0.00000000
  29   22   0.00154496   0.00000000
  29   23   0.00344394   0.00000000
  29   24   0.00210341   0.00000000
  29   25   0.00512612   0.00000000
  29   26   0.00035127   0.00000000
  29   27  -0.00386169   0.00000000
  29   28   0.01241439   0.00000000
  29   29   0.00879673   0.00000000
  30  -30  -0.00093026   0.00000000
  30  -29   0.00551615   0.00000000
  30  -28   0.00608752   0.00000000
  30  -27   0.00143188   0.00000000
  30  -26   0.00219558   0.00000000
  30  -25  -0.00242265   0.00000000
  30  -24  -0.00943731   0.00000000
  30  -23   0.00258576   0.00000000
  30  -22  -0.00467725   0.00000000
  30  -21  -0.00546550   0.00000000
  30  -20   0.01261984   0.00000000
  30  -19   0.00287180   0.00000000
  30  -18  -0.00119875   0.00000000
  30  -17  -0.00530955   0.00000000
  30  -16  -0.00109276   0.00000000
  30  -15   0.00144326   0.00000000
  30  -14   0.00259976   0.00000000
  30  -13  -0.00493896   0.00000000
  30  -12  -0.00595052   0.00000000
  30  -11   0.00770503   0.00000000
  30  -10  -0.00051652   0.00000000
  30   -9   0.00437598   0.00000000
  30   -8   0.00128492   0.00000000
  30   -7  -0.00300466   0.00000000
  30   -6  -0.00144501   0.00000000
  30   -5  -0.00738758   0.00000000
  30   -4  -0.01141043   0.00000000
  30   -3   0.00230880   0.00000000
  30   -2  -0.00056327   0.00000000
  30   -1   0.00584145   0.00000000
  30    0   0.00647009   0.00000000
  30    1   0.00244681   0.00000000
  30    2  -0.00024206   0.00000000
  30    3   0.00148082   0.00000000
  30    4   0.00833415   0.00000000
  30    5  -0.00090795   0.00000000
  30    6  -0.00238526   0.00000000
  30    7   0.00206802   0.00000000
  30    8   0.00398409   0.00000000
  30    9   0.00127600   0.00000000
  30   10  -0.00012656   0.00000000
  30   11   0.00269772   0.00000000
  30   12  -0.00023892   0.00000000
  30   13  -0.00802127   0.00000000
  30   14   0.00721405   0.00000000
  30   15   0.00416615   0.00000000
  30   16  -0.00033124   0.00000000
  30   17  -0.00617323   0.00000000
  30   18   0.00496095   0.00000000
  30   19   0.00307691   0.00000000
  30   20  -0.00244885   0.00000000
  30   21  -0.00539515   0.00000000
  30   22   0.00041962   0.00000000
  30   23   0.00007371   0.00000000
  30   24   0.00185832   0.00000000
  30   25   0.00280963   0.00000000
  30   26  -0.00525145   0.00000000
  30   27   0.00228666   0.00000000
  30   28  -0.00607391   0.00000000
  30   29  -0.00232182   0.00000000
  30   30  -0.00302997   0.00000000
  31  -31   0.00635326   0.00000000
  31  -30  -0.00543413   0.00000000
  31  -29  -0.00891901   0.00000000
  31  -28  -0.00666556   0.00000000
  31  -27  -0.00588004   0.00000000
  31  -26  -0.00037881   0.00000000
  31  -25  -0.00496092   0.00000000
  31  -24  -0.00592620   0.00000000
  31  -23   0.00011412   0.00000000
  31  -22  -0.00847623   0.00000000
  31  -21  -0.00256369   0.00000000
  31  -20  -0.00325998   0.00000000
  31  -19   0.00707398   0.00000000
  31  -18  -0.00086969   0.00000000
  31  -17   0.00428017   0.00000000
  31  -16   0.00335144   0.00000000
  31  -15   0.00459447   0.00000000
  31  -14   0.00334375   0.00000000
  31  -13   0.00321311   0.00000000
  31  -12   0.00593756   0.00000000
  31  -11   0.00915843   0.00000000
  31  -10   0.00494485   0.00000000
  31   -9  -0.00307478   0.00000000
  31   -8   0.00396211   0.00000000
  31   -7  -0.00193037   0.00000000
  31   -6  -0.00146380   0.00000000
  31   -5   0.00303320   0.00000000
  31   -4  -0.00363946   0.00000000
  31   -3   0.00157078   0.00000000
  31   -2  -0.00623159   0.00000000
  31   -1  -0.00951208   0.00000000
  31    0   0.00531356   0.00000000
  31    1   0.00532213   0.00000000
  31    2   0.00633230   0.00000000
  31    3   0.00707605   0.00000000
  31    4   0.01055246   0.00000000
  31    5   0.00671893   0.00000000
  31    6  -0.00160976   0.00000000
  31    7   0.00003387   0.00000000
  31    8  -0.00907263   0.00000000
  31    9   0.00715833   0.00000000
  31   10   0.00099917   0.00000000
  31   11   0.00932237   0.00000000
  31   12   0.00218402   0.00000000
  31   13  -0.00308735   0.00000000
  31   14  -0.00366606   0.00000000
  31   15   0.01440051   0.00000000
  31   16  -0.00726859   0.00000000
  31   17  -0.00222422   0.00000000
  31   18  -0.00096649   0.00000000
  31   19   0.00115206   0.00000000
  31   20   0.00342474   0.00000000
  31   21   0.00519779   0.00000000
  31   22  -0.00059371   0.00000000
  31   23   0.00877655   0.00000000
  31   24   0.00125222   0.00000000
  31   25   0.00077497   0.00000000
  31   26  -0.00754547   0.00000000
  31   27  -0.00338775   0.00000000
  31   28   0.00720359   0.00000000
  31   29   0.00206383   0.00000000
  31   30  -0.00853357   0.00000000
  31   31   0.00407412   0.00000000
  32  -32   0.00425045   0.00000000
  32  -31  -0.00460140   0.00000000
  32  -30  -0.00316680   0.00000000
  32  -29  -0.00737985   0.00000000
  32  -28  -0.00336518   0.00000000
  32  -27  -0.00314567   0.00000000
  32  -26   0.00420893   0.00000000
  32  -25   0.00189577   0.00000000
  32  -24  -0.00425695   0.00000000
  32  -23  -0.00382166   0.00000000
  32  -22  -0.00278012   0.00000000
  32  -21   0.00224512   0.00000000
  32  -20  -0.00240294   0.00000000
  32  -19   0.00156468   0.00000000
  32  -18  -0.00742435   0.00000000
  32  -17   0.00308653   0.00000000
  32  -16  -0.00220529   0.00000000
  32  -15   0.00925402   0.00000000
  32  -14   0.00138717   0.00000000
  32  -13  -0.00330433   0.00000000
  32  -12   0.00744813   0.00000000
  32  -11  -0.00353729   0.00000000
  32  -10   0.00284000   0.00000000
  32   -9   0.00767188   0.00000000
  32   -8   0.00590142   0.00000000
  32   -7  -0.00166340   0.00000000
  32   -6  -0.00574833   0.00000000
  32   -5  -0.00714448   0.00000000
  32   -4  -0.00410299   0.00000000
  32   -3  -0.00058963   0.00000000
  32   -2   0.00023090   0.00000000
  32   -1  -0.00674798   0.00000000
  32    0   0.00236615   0.00000000
  32    1   0.00102116   0.00000000
  32    2   0.00208695   0.00000000
  32    3  -0.00129537   0.00000000
  32    4   0.01082101   0.00000000
  32    5   0.00666644   0.00000000
  32    6  -0.00879665   0.00000000
  32    7  -0.00189509   0.00000000
  32    8   0.00043959   0.00000000
  32    9  -0.00231901   0.00000000
  32   10  -0.00009507   0.00000000
  32   11   0.00335087   0.00000000
  32   12  -0.00515770   0.00000000
  32   13  -0.00307082   0.00000000
  32   14  -0.00529970   0.00000000
  32   15   0.00772885   0.00000000
  32   16   0.00520667   0.00000000
  32   17  -0.00680304   0.00000000
  32   18   0.00978507   0.00000000
  32   19  -0.00100894   0.00000000
  32   20   0.00091642   0.00000000
  32   21   0.00938331   0.00000000
  32   22  -0.00051925   0.00000000
  32   23  -0.00279066   0.00000000
  32   24  -0.00599344   0.00000000
  32   25  -0.01163251   0.00000000
  32   26  -0.00068946   0.00000000
  32   27  -0.00178133   0.00000000
  32   28   0.00468094   0.00000000
  32   29   0.00639424   0.00000000
  32   30  -0.00235912   0.00000000
  32   31  -0.00094517   0.00000000
  32   32  -0.00893740   0.00000000
  33  -33  -0.00651550   0.00000000
  33  -32   0.01433989   0.00000000
  33  -31   0.00408114   0.00000000
  33  -30  -0.00010121   0.00000000
  33  -29  -0.00006671   0.00000000
  33  -28  -0.00515964   0.00000000
  33  -27  -0.00898704   0.00000000
  33  -26   0.00692049   0.00000000
  33  -25  -0.00620357   0.00000000
  33  -24  -0.00026049   0.00000000
  33  -23  -0.00430232   0.00000000
  33  -22  -0.00245419   0.00000000
  33  -21   0.00069254   0.00000000
  33  -20  -0.00894430   0.00000000
  33  -19  -0.00351479   0.00000000
  33  -18  -0.00804532   0.00000000
  33  -17   0.00002410   0.00000000
  33  -16   0.00138828   0.00000000
  33  -15  -0.00694343   0.00000000
  33  -14   0.00054487   0.00000000
  33  -13   0.00357181   0.00000000
  33  -12   0.00091402   0.00000000
  33  -11   0.00581540   0.00000000
  33  -10   0.00775814   0.00000000
  33   -9   0.00348990   0.00000000
  33   -8  -0.00731888   0.00000000
  33   -7  -0.00054253   0.00000000
  33   -6  -0.00149411   0.00000000
  33   -5  -0.00079346   0.00000000
  33   -4   0.00668876   0.00000000
  33   -3   0.00320955   0.00000000
  33   -2   0.00231434   0.00000000
  33   -1   0.00268752   0.00000000
  33    0  -0.00507900   0.00000000
  33    1  -0.00411275   0.00000000
  33    2  -0.00723994   0.00000000
  33    3  -0.00662752   0.00000000
  33    4  -0.00172610   0.00000000
  33    5   0.00712341   0.00000000
  33    6  -0.00963574   0.00000000
  33    7  -0.00654202   0.00000000
  33    8  -0.00144824   0.00000000
  33    9   0.00062759   0.00000000
  33   10  -0.00471297   0.00000000
  33   11   0.00182795   0.00000000
  33   12   0.00209605   0.00000000
  33   13  -0.00283899   0.00000000
  33   14   0.00337928   0.00000000
  33   15   0.00177400   0.00000000
  33   16   0.00532668   0.00000000
  33   17  -0.00390883   0.00000000
  33   18  -0.00715065   0.00000000
  33   19   0.01223752   0.00000000
  33   20  -0.00229034   0.00000000
  33   21   0.00240974   0.00000000
  33   22   0.00948007   0.00000000
  33   23  -0.00476298   0.00000000
  33   24  -0.00286544   0.00000000
  33   25  -0.00782353   0.00000000
  33   26  -0.00421704   0.00000000
  33   27  -0.00140856   0.00000000
  33   28   0.00327616   0.00000000
  33   29  -0.00776199   0.00000000
  33   30   0.00400355   0.00000000
  33   31  -0.00403143   0.00000000
  33   32   0.00044563   0.00000000
  33   33   0.00286868   0.00000000
  34  -34  -0.00434528   0.00000000
  34  -33  -0.00686718   0.00000000
  34  -32  -0.00115342   0.00000000
  34  -31   0.00834742   0.00000000
  34  -30   0.00113441   0.00000000
  34  -29  -0.00556910   0.00000000
  34  -28  -0.00783913   0.00000000
  34  -27  -0.00507684   0.00000000
  34  -26  -0.00080580   0.00000000
  34  -25  -0.00997696   0.00000000
  34  -24  -0.00042740   0.00000000
  34  -23   0.00343638   0.00000000
  34  -22   0.00650396   0.00000000
  34  -21   0.00621522   0.00000000
  34  -20  -0.00793414   0.00000000
  34  -19  -0.00390028   0.00000000
  34  -18  -0.00237364   0.00000000
  34  -17  -0.00394144   0.00000000
  34  -16  -0.00567673   0.00000000
  34  -15   0.00267921   0.00000000
  34  -14   0.00199630   0.00000000
  34  -13   0.00291025   0.00000000
  34  -12  -0.00307847   0.00000000
  34  -11   0.00309144   0.00000000
  34  -10   0.00651250   0.00000000
  34   -9   0.00581136   0.00000000
  34   -8  -0.00169139   0.00000000
  34   -7  -0.00477744   0.00000000
  34   -6  -0.00183175   0.00000000
  34   -5  -0.00138883   0.00000000
  34   -4   0.00047735   0.00000000
  34   -3   0.01070400   0.00000000
  34   -2   0.00203728   0.00000000
  34   -1  -0.00460599   0.00000000
  34    0  -0.00393403   0.00000000
  34    1  -0.00615031   0.00000000
  34    2   0.00126900   0.00000000
  34    3  -0.00307995   0.00000000
  34    4  -0.00116306   0.00000000
  34    5  -0.00239379   0.00000000
  34    6   0.00578804   0.00000000
  34    7  -0.00058122   0.00000000
  34    8   0.00040420   0.00000000
  34    9   0.00002669   0.00000000
  34   10  -0.00988010   0.00000000
  34   11  -0.00277246   0.00000000
  34   12   0.00484271   0.00000000
  34   13   0.00099602   0.00000000
  34   14  -0.00668038   0.00000000
  34   15  -0.00442931   0.00000000
  34   16   0.00182227   0.00000000
  34   17  -0.00242243   0.00000000
  34   18  -0.00642812   0.00000000
  34   19  -0.00420324   0.00000000
  34   20   0.00351275   0.00000000
  34   21  -0.00475352   0.00000000
  34   22   0.00038652   0.00000000
  34   23   0.00193118   0.00000000
  34   24   0.00628390   0.00000000
  34   25   0.00532338   0.00000000
  34   26  -0.00052815   0.00000000
  34   27   0.01144793   0.00000000
  34   28   0.00276495   0.00000000
  34   29   0.00113436   0.00000000
  34   30   0.00031522   0.00000000
  34   31  -0.00696356   0.00000000
  34   32   0.01016558   0.00000000
  34   33   0.00051600   0.00000000
  34   34  -0.00172330   0.00000000
  35  -35  -0.00882597   0.00000000
  35  -34   0.00625616   0.00000000
  35  -33   0.00296768   0.00000000
  35  -32  -0.00613724   0.00000000
  35  -31   0.00206925   0.00000000
  35  -30   0.00046251   0.00000000
  35  -29  -0.00289274   0.00000000
  35  -28  -0.00487979   0.00000000
  35  -27   0.00437471   0.00000000
  35  -26   0.00660544   0.00000000
  35  -25   0.00606196   0.00000000
  35  -24  -0.00020434   0.00000000
  35  -23  -0.00159607   0.00000000
  35  -22   0.00678757   0.00000000
  35  -21   0.00606269   0.00000000
  35  -20  -0.00329566   0.00000000
  35  -19  -0.00488066   0.00000000
  35  -18  -0.00089646   0.00000000
  35  -17   0.00069534   0.00000000
  35  -16   0.00041162   0.00000000
  35  -15   0.00694081   0.00000000
  35  -14   0.00454179   0.00000000
  35  -13  -0.00242899   0.00000000
  35  -12  -0.00074454   0.00000000
  35  -11   0.00665883   0.00000000
  35  -10   0.00185597   0.00000000
  35   -9  -0.00435572   0.00000000
  35   -8   0.00387091   0.00000000
  35   -7   0.00475227   0.00000000
  35   -6   0.00046421   0.00000000
  35   -5  -0.00392032   0.00000000
  35   -4   0.00817046   0.00000000
  35   -3  -0.00214977   0.00000000
  35   -2  -0.00358432   0.00000000
  35   -1   0.00019291   0.00000000
  35    0   0.00553226   0.00000000
  35    1  -0.00038464   0.00000000
  35    2  -0.00406964   0.00000000
  35    3  -0.00339720   0.00000000
  35    4  -0.00441175   0.00000000
  35    5   0.00391782   0.00000000
  35    6  -0.00115433   0.00000000
  35    7   0.00608435   0.00000000
  35    8   0.00217539   0.00000000
  35    9   0.00156854   0.00000000
  35   10  -0.00515822   0.00000000
  35   11   0.00040237   0.00000000
  35   12   0.00052530   0.00000000
  35   13  -0.00242412   0.00000000
  35   14  -0.00567813   0.00000000
  35   15  -0.00701128   0.00000000
  35   16  -0.00141700   0.00000000
  35   17   0.00611808   0.00000000
  35   18  -0.01295176   0.00000000
  35   19  -0.00473636   0.00000000
  35   20  -0.00474052   0.00000000
  35   21   0.00435319   0.00000000
  35   22  -0.00503226   0.00000000
  35   23  -0.00617451   0.00000000
  35   24   0.00857402   0.00000000
  35   25   0.00690107   0.00000000
  35   26  -0.00244488   0.00000000
  35   27   0.00430796   0.00000000
  35   28  -0.00029865   0.00000000
  35   29  -0.00326895   0.00000000
  35   30   0.00338775   0.00000000
  35   31  -0.00261873   0.00000000
  35   32  -0.00218273   0.00000000
  35   33   0.00202888   0.00000000
  35   34   0.00447696   0.00000000
  35   35  -0.00632328   0.00000000
  36  -36  -0.00866354   0.00000000
  36  -35  -0.00548430   0.00000000
  36  -34  -0.00650699   0.00000000
  36  -33  -0.00266320   0.00000000
  36  -32  -0.00020734   0.00000000
  36  -31   0.00686105   0.00000000
  36  -30  -0.00627905   0.00000000
  36  -29  -0.00827678   0.00000000
  36  -28  -0.00999179   0.00000000
  36  -27  -0.00312149   0.00000000
  36  -26  -0.00190644   0.00000000
  36  -25   0.00468993   0.00000000
  36  -24  -0.00179134   0.00000000
  36  -23  -0.00640886   0.00000000
  36  -22   0.00701047   0.00000000
  36  -21   0.00597857   0.00000000
  36  -20  -0.00294700   0.00000000
  36  -19  -0.00568899   0.00000000
  36  -18   0.00045379   0.00000000
  36  -17   0.00280529   0.00000000
  36  -16   0.00204356   0.00000000
  36  -15   0.00036760   0.00000000
  36  -14   0.00222931   0.00000000
  36  -13  -0.00460942   0.00000000
  36  -12  -0.00368981   0.00000000
  36  -11  -0.00535323   0.00000000
  36  -10  -0.00414832   0.00000000
  36   -9  -0.00573343   0.00000000
  36   -8   0.00279719   0.00000000
  36   -7   0.00648842   0.00000000
  36   -6  -0.00348817   0.00000000
  36   -5  -0.00312099   0.00000000
  36   -4   0.00100796   0.00000000
  36   -3  -0.00702024   0.00000000
  36   -2  -0.00691505   0.00000000
  36   -1   0.00489402   0.00000000
  36    0   0.00376124   0.00000000
  36    1   0.00248183   0.00000000
  36    2  -0.00172091   0.00000000
  36    3   0.00110060   0.00000000
  36    4   0.00275499   0.00000000
  36    5  -0.00055700   0.00000000
  36    6   0.00607268   0.00000000
  36    7   0.00325946   0.00000000
  36    8  -0.00114902   0.00000000
  36    9   0.00310612   0.00000000
  36   10  -0.00040280   0.00000000
  36   11  -0.00209496   0.00000000
  36   12  -0.00268198   0.00000000
  36   13  -0.00508273   0.00000000
  36   14  -0.00391024   0.00000000
  36   15  -0.00139822   0.00000000
  36   16   0.00189514   0.00000000
  36   17  -0.00562875   0.00000000
  36   18  -0.00268340   0.00000000
  36   19  -0.00335082   0.00000000
  36   20   0.00354824   0.00000000
  36   21  -0.00210554   0.00000000
  36   22  -0.00249429   0.00000000
  36   23   0.00305575   0.00000000
  36   24  -0.00546391   0.00000000
  36   25   0.00547865   0.00000000
  36   26  -0.00207937   0.00000000
  36   27  -0.00387742   0.00000000
  36   28   0.00104875   0.00000000
  36   29  -0.00434245   0.00000000
  36   30   0.00280656   0.00000000
  36   31  -0.00021364   0.00000000
  36   32   0.00973306   0.00000000
  36   33   0.00797089   0.00000000
  36   34  -0.00289165   0.00000000
  36   35  -0.00031260   0.00000000
  36   36   0.00322133   0.00000000
  37  -37  -0.00503272   0.00000000
  37  -36  -0.00278052   0.00000000
  37  -35   0.00153296   0.00000000
  37  -34   0.00707211   0.00000000
  37  -33  -0.00082043   0.00000000
  37  -32   0.00357073   0.00000000
  37  -31  -0.00496771   0.00000000
  37  -30   0.00192215   0.00000000
  37  -29  -0.00662510   0.00000000
  37  -28  -0.00388368   0.00000000
  37  -27  -0.00034570   0.00000000
  37  -26  -0.00062755   0.00000000
  37  -25   0.00128145   0.00000000
  37  -24  -0.00035337   0.00000000
  37  -23  -0.00119834   0.00000000
  37  -22   0.00681367   0.00000000
  37  -21  -0.00328631   0.00000000
  37  -20  -0.00397232   0.00000000
  37  -19   0.00182076   0.00000000
  37  -18  -0.00634394   0.00000000
  37  -17   0.00230091   0.00000000
  37  -16   0.00245743   0.00000000
  37  -15   0.00378565   0.00000000
  37  -14  -0.00348671   0.00000000
  37  -13  -0.00333694   0.00000000
  37  -12  -0.00422793   0.00000000
  37  -11   0.00305226   0.00000000
  37  -10  -0.00488740   0.00000000
  37   -9  -0.00328321   0.00000000
  37   -8  -0.00047670   0.00000000
  37   -7  -0.00024010   0.00000000
  37   -6   0.00016372   0.00000000
  37   -5   0.00291706   0.00000000
  37   -4   0.00127032   0.00000000
  37   -3  -0.00262055   0.00000000
  37   -2  -0.00364963   0.00000000
  37   -1   0.00074976   0.00000000
  37    0  -0.00462944   0.00000000
  37    1   0.00294385   0.00000000
  37    2   0.00063879   0.00000000
  37    3   0.00329264   0.00000000
  37    4   0.00213414   0.00000000
  37    5  -0.00171326   0.00000000
  37    6  -0.00644784   0.00000000
  37    7   0.00281830   0.00000000
  37    8  -0.00263362   0.00000000
  37    9  -0.00146005   0.00000000
  37   10   0.00798836   0.00000000
  37   11  -0.00162343   0.00000000
  37   12  -0.00889993   0.00000000
  37   13  -0.00892135   0.00000000
  37   14   0.00509539   0.00000000
  37   15   0.00753724   0.00000000
  37   16  -0.00029348   0.00000000
  37   17   0.00166669   0.00000000
  37   18  -0.00176235   0.00000000
  37   19   0.00153749   0.00000000
  37   20   0.00132445   0.00000000
  37   21  -0.00110498   0.00000000
  37   22  -0.00115997   0.00000000
  37   23  -0.00006325   0.00000000
  37   24  -0.00302974   0.00000000
  37   25   0.00163564   0.00000000
  37   26  -0.00238636   0.00000000
  37   27  -0.00382051   0.00000000
  37   28   0.00137113   0.00000000
  37   29  -0.00033649   0.00000000
  37   30   0.00782238   0.00000000
  37   31   0.00181508   0.00000000
  37   32  -0.00232454   0.00000000
  37   33  -0.00017712   0.00000000
  37   34  -0.00479340   0.00000000
  37   35  -0.00504893   0.00000000
  37   36   0.00075235   0.00000000
  37   37   0.00102586   0.00000000
  38  -38  -0.00130432   0.00000000
  38  -37  -0.00335781   0.00000000
  38  -36  -0.00254195   0.00000000
  38  -35  -0.00058279   0.00000000
  38  -34   0.00298680   0.00000000
  38  -33   0.00470471   0.00000000
  38  -32  -0.00262532   0.00000000
  38  -31  -0.00045437   0.00000000
  38  -30  -0.00612313   0.00000000
  38  -29  -0.00442358   0.00000000
  38  -28   0.00056399   0.00000000
  38  -27   0.00466518   0.00000000
  38  -26   0.00416447   0.00000000
  38  -25  -0.00510734   0.00000000
  38  -24  -0.00039067   0.00000000
  38  -23   0.00361134   0.00000000
  38  -22  -0.00113849   0.00000000
  38  -21  -0.00775472   0.00000000
  38  -20  -0.00330531   0.00000000
  38  -19  -0.00792944   0.00000000
  38  -18   0.00079823   0.00000000
  38  -17   0.00816194   0.00000000
  38  -16   0.00156670   0.00000000
  38  -15  -0.00475168   0.00000000
  38  -14  -0.00149986   0.00000000
  38  -13  -0.00921643   0.00000000
  38  -12  -0.00547143   0.00000000
  38  -11   0.00105126   0.00000000
  38  -10  -0.00095486   0.00000000
  38   -9  -0.00284115   0.00000000
  38   -8   0.00653209   0.00000000
  38   -7   0.00319155   0.00000000
  38   -6  -0.00180755   0.00000000
  38   -5   0.00084260   0.00000000
  38   -4  -0.00334479   0.00000000
  38   -3  -0.00480482   0.00000000
  38   -2  -0.00144560   0.00000000
  38   -1  -0.00039312   0.00000000
  38    0  -0.00547948   0.00000000
  38    1   0.00612462   0.00000000
  38    2  -0.00134230   0.00000000
  38    3  -0.00062804   0.00000000
  38    4   0.00297776   0.00000000
  38    5   0.00290088   0.00000000
  38    6  -0.00938989   0.00000000
  38    7  -0.00260166   0.00000000
  38    8   0.00923060   0.00000000
  38    9  -0.00103363   0.00000000
  38   10   0.00321254   0.00000000
  38   11   0.00412269   0.00000000
  38   12  -0.00545032   0.00000000
  38   13  -0.01030064   0.00000000
  38   14  -0.00760628   0.00000000
  38   15   0.00108121   0.00000000
  38   16   0.00221183   0.00000000
  38   17   0.00199858   0.00000000
  38   18   0.00876404   0.00000000
  38   19   0.00332895   0.00000000
  38   20   0.00071298   0.00000000
  38   21  -0.00296487   0.00000000
  38   22  -0.00015906   0.00000000
  38   23   0.00270109   0.00000000
  38   24  -0.00270617   0.00000000
  38   25   0.00027258   0.00000000
  38   26  -0.00177508   0.00000000
  38   27  -0.00442961   0.00000000
  38   28   0.00376146   0.00000000
  38   29   0.00123964   0.00000000
  38   30  -0.00034234   0.00000000
  38   31  -0.00190143   0.00000000
  38   32  -0.00186949   0.00000000
  38   33  -0.00223524   0.00000000
  38   34  -0.00458199   0.00000000
  38   35  -0.00531333   0.00000000
  38   36  -0.00357438   0.00000000
  38   37   0.00369458   0.00000000
  38   38  -0.00017202   0.00000000
  39  -39  -0.00550546   0.00000000
  39  -38  -0.00155258   0.00000000
  39  -37   0.00143988   0.00000000
  39  -36  -0.00132670   0.00000000
  39  -35   0.00178016   0.00000000
  39  -34  -0.00397637   0.00000000
  39  -33   0.00113619   0.00000000
  39  -32  -0.00162239   0.00000000
  39  -31  -0.00203005   0.00000000
  39  -30  -0.00455502   0.00000000
  39  -29   0.00126069   0.00000000
  39  -28  -0.00428876   0.00000000
  39  -27   0.00226536   0.00000000
  39  -26   0.00926990   0.00000000
  39  -25   0.00300471   0.00000000
  39  -24  -0.00234484   0.00000000
  39  -23  -0.00008941   0.00000000
  39  -22  -0.00571280   0.00000000
  39  -21  -0.00554672   0.00000000
  39  -20  -0.00418504   0.00000000
  39  -19   0.00861919   0.00000000
