# Converted from gridded data
   l    m 	C	Standard_Deviation
  13   -6  -0.00715267   0.00000000
  13   -5   0.01062930   0.00000000
  13   -4   0.01480800   0.00000000
  13   -3   0.01498170   0.00000000
  13   -2  -0.01234111   0.00000000
  13   -1  -0.00205614   0.00000000
  13    0   0.00712737   0.00000000
  13    1  -0.01124990   0.00000000
  13    2  -0.00184175   0.00000000
  13    3   0.00151396   0.00000000
  13    4  -0.02048452   0.00000000
  13    5   0.02748503   0.00000000
  13    6   0.00839558   0.00000000
  13    7   0.01114187   0.00000000
  13    8  -0.00522977   0.00000000
  13    9  -0.00192350   0.00000000
  13   10   0.01457234   0.00000000
  13   11  -0.00581931   0.00000000
  13   12  -0.02647719   0.00000000
  13   13   0.00795858   0.00000000
  14  -14   0.00273368   0.00000000
  14  -13   0.00326544   0.00000000
  14  -12   0.00623447   0.00000000
  14  -11  -0.02580078   0.00000000
  14  -10  -0.01477964   0.00000000
  14   -9   0.01553208   0.00000000
  14   -8   0.02821129   0.00000000
  14   -7   0.00479247   0.00000000
  14   -6   0.00616369   0.00000000
  14   -5  -0.00829432   0.00000000
  14   -4  -0.01030272   0.00000000
  14   -3   0.01064857   0.00000000
  14   -2  -0.00617897   0.00000000
  14   -1   0.00369449   0.00000000
  14    0  -0.00341348   0.00000000
  14    1  -0.01894407   0.00000000
  14    2   0.00350286   0.00000000
  14    3   0.02941285   0.00000000
  14    4   0.02217601   0.00000000
  14    5  -0.00023380   0.00000000
  14    6  -0.01336089   0.00000000
  14    7  -0.00024546   0.00000000
  14    8  -0.00039550   0.00000000
  14    9  -0.01076354   0.00000000
  14   10   0.02556334   0.00000000
  14   11   0.01573976   0.00000000
  14   12  -0.01739606   0.00000000
  14   13  -0.00419610   0.00000000
  14   14  -0.01783455   0.00000000
  15  -15  -0.00697844   0.00000000
  15  -14  -0.00064712   0.00000000
  15  -13   0.00385950   0.00000000
  15  -12   0.01237745   0.00000000
  15  -11  -0.01259833   0.00000000
  15  -10  -0.02928961   0.00000000
  15   -9   0.01879273   0.00000000
  15   -8   0.02316137   0.00000000
  15   -7   0.01670497   0.00000000
  15   -6  -0.01207367   0.00000000
  15   -5  -0.01146887   0.00000000
  15   -4   0.01051715   0.00000000
  15   -3   0.02001101   0.00000000
  15   -2  -0.01932097   0.00000000
  15   -1  -0.01367676   0.00000000
  15    0   0.01882167   0.00000000
  15    1   0.00376872   0.00000000
  15    2   0.01304820   0.00000000
  15    3   0.00782391   0.00000000
  15    4  -0.00008197   0.00000000
  15    5  -0.00797886   0.00000000
  15    6  -0.00135418   0.00000000
  15    7  -0.00409439   0.00000000
  15    8   0.00029125   0.00000000
  15    9  -0.01301082   0.00000000
  15   10   0.00092821   0.00000000
  15   11   0.01309382   0.00000000
  15   12   0.00673912   0.00000000
  15   13  -0.01602519   0.00000000
  15   14   0.01962405   0.00000000
  15   15  -0.01705119   0.00000000
  16  -16  -0.00209472   0.00000000
  16  -15   0.00313444   0.00000000
  16  -14  -0.01757383   0.00000000
  16  -13   0.00260758   0.00000000
  16  -12   0.01374018   0.00000000
  16  -11   0.00201702   0.00000000
  16  -10  -0.01019287   0.00000000
  16   -9  -0.01271257   0.00000000
  16   -8  -0.00086466   0.00000000
  16   -7  -0.01827121   0.00000000
  16   -6  -0.01612209   0.00000000
  16   -5  -0.02205710   0.00000000
  16   -4   0.00945524   0.00000000
  16   -3   0.00615330   0.00000000
  16   -2  -0.01821750   0.00000000
  16   -1  -0.01062699   0.00000000
  16    0   0.00151007   0.00000000
  16    1   0.01468469   0.00000000
  16    2  -0.00010814   0.00000000
  16    3  -0.00301020   0.00000000
  16    4   0.02103602   0.00000000
  16    5  -0.01038243   0.00000000
  16    6  -0.00544794   0.00000000
  16    7  -0.01880901   0.00000000
  16    8  -0.01010662   0.00000000
  16    9  -0.00105266   0.00000000
  16   10  -0.00905921   0.00000000
  16   11   0.02301068   0.00000000
  16   12   0.02246385   0.00000000
  16   13   0.00102310   0.00000000
  16   14   0.00203677   0.00000000
  16   15   0.00184743   0.00000000
  16   16  -0.00764039   0.00000000
  17  -17   0.00538111   0.00000000
  17  -16  -0.01543455   0.00000000
  17  -15  -0.01426646   0.00000000
  17  -14  -0.01610372   0.00000000
  17  -13   0.00614325   0.00000000
  17  -12   0.02437352   0.00000000
  17  -11   0.00516125   0.00000000
  17  -10  -0.01232507   0.00000000
  17   -9  -0.01790983   0.00000000
  17   -8  -0.01524366   0.00000000
  17   -7  -0.01430805   0.00000000
  17   -6  -0.01665244   0.00000000
  17   -5  -0.00420007   0.00000000
  17   -4   0.01484138   0.00000000
  17   -3  -0.00278608   0.00000000
  17   -2  -0.00100580   0.00000000
  17   -1  -0.01217194   0.00000000
  17    0   0.01009318   0.00000000
  17    1  -0.00546052   0.00000000
  17    2  -0.01180465   0.00000000
  17    3   0.01299749   0.00000000
  17    4  -0.00039100   0.00000000
  17    5   0.00861047   0.00000000
  17    6  -0.02299832   0.00000000
  17    7  -0.00323949   0.00000000
  17    8  -0.00323335   0.00000000
  17    9   0.00442387   0.00000000
  17   10  -0.01828704   0.00000000
  17   11   0.00303939   0.00000000
  17   12   0.02425987   0.00000000
  17   13   0.01261612   0.00000000
  17   14   0.00080815   0.00000000
  17   15   0.00808075   0.00000000
  17   16  -0.00122484   0.00000000
  17   17  -0.01767630   0.00000000
  18  -18  -0.00207311   0.00000000
  18  -17  -0.00884722   0.00000000
  18  -16  -0.00566374   0.00000000
  18  -15  -0.00334914   0.00000000
  18  -14  -0.00401809   0.00000000
  18  -13   0.00167158   0.00000000
  18  -12   0.01766993   0.00000000
  18  -11  -0.01115343   0.00000000
  18  -10  -0.00581495   0.00000000
  18   -9  -0.00870846   0.00000000
  18   -8  -0.00191397   0.00000000
  18   -7  -0.00488440   0.00000000
  18   -6  -0.01348119   0.00000000
  18   -5  -0.00999836   0.00000000
  18   -4   0.00040482   0.00000000
  18   -3   0.01534483   0.00000000
  18   -2  -0.01016982   0.00000000
  18   -1  -0.00434240   0.00000000
  18    0   0.00781469   0.00000000
  18    1   0.00123348   0.00000000
  18    2  -0.00091208   0.00000000
  18    3  -0.00650945   0.00000000
  18    4   0.01470865   0.00000000
  18    5   0.01132554   0.00000000
  18    6  -0.00349406   0.00000000
  18    7  -0.01621181   0.00000000
  18    8   0.02026498   0.00000000
  18    9   0.00356792   0.00000000
  18   10   0.01645272   0.00000000
  18   11   0.00078278   0.00000000
  18   12   0.00144599   0.00000000
  18   13  -0.01401762   0.00000000
  18   14  -0.00392204   0.00000000
  18   15  -0.01586171   0.00000000
  18   16  -0.00450489   0.00000000
  18   17   0.02169459   0.00000000
  18   18  -0.00106300   0.00000000
  19  -19  -0.00008563   0.00000000
  19  -18  -0.00213698   0.00000000
  19  -17  -0.01047553   0.00000000
  19  -16   0.00171794   0.00000000
  19  -15   0.01239786   0.00000000
  19  -14  -0.00555036   0.00000000
  19  -13  -0.00564363   0.00000000
  19  -12   0.01498454   0.00000000
  19  -11   0.01025452   0.00000000
  19  -10   0.01550685   0.00000000
  19   -9  -0.00509303   0.00000000
  19   -8  -0.00620650   0.00000000
  19   -7  -0.00327157   0.00000000
  19   -6   0.01553470   0.00000000
  19   -5   0.00116399   0.00000000
  19   -4   0.01667885   0.00000000
  19   -3  -0.00786160   0.00000000
  19   -2  -0.00745942   0.00000000
  19   -1   0.01151571   0.00000000
  19    0  -0.01363841   0.00000000
  19    1   0.00422565   0.00000000
  19    2   0.00193097   0.00000000
  19    3  -0.01251714   0.00000000
  19    4   0.00450402   0.00000000
  19    5   0.00647783   0.00000000
