-18.400 69.979 1.082
0.445 69.575 0.850
0.635 69.824 0.955
2.185 69.515 0.781
2.980 69.562 1.016
4.022 69.698 0.765
4.826 69.897 0.695
1.968 68.989 1.192
3.023 69.181 1.083
3.864 69.271 0.895
4.545 69.272 1.009
8.430 69.247 0.615
-0.675 67.708 1.096
0.109 67.918 0.932
0.360 67.498 0.193
-4.822 64.860 1.126
-3.864 64.796 0.860
-3.185 64.641 1.371
-32.510 64.379 1.960
-32.425 64.370 1.952
-3.909 64.282 0.933
-2.690 64.415 1.502
-2.275 64.225 1.573
-0.120 64.180 0.936
-36.109 62.676 1.608
-35.377 62.995 1.648
-30.355 62.795 1.929
-28.764 62.737 1.999
-28.108 62.637 2.045
-19.720 62.660 0.952
-19.000 62.588 1.305
-18.315 62.519 1.724
-55.880 61.712 1.302
-55.250 62.029 1.151
-39.500 61.757 1.965
-39.205 61.629 1.734
-34.996 62.317 1.291
-34.014 62.114 1.185
-33.000 62.073 1.541
-31.998 62.061 1.621
-31.000 62.006 1.704
-30.000 61.937 1.743
-28.998 61.879 1.922
-27.999 61.826 1.886
-25.000 61.629 1.935
-24.095 61.540 1.762
-21.790 61.575 1.568
-21.180 61.732 1.216
-17.810 62.469 1.048
-17.475 62.435 0.884
-57.525 60.526 0.063
-51.515 60.510 0.635
-51.430 60.553 0.558
-38.705 61.410 1.490
-38.000 61.126 1.194
-37.010 60.786 1.133
-36.247 60.604 1.249
-34.625 60.666 1.059
-34.160 60.759 1.075
-28.792 61.275 1.110
-26.889 61.346 2.089
-25.036 61.132 1.912
-23.649 61.461 1.910
-23.000 61.427 1.757
-21.999 61.340 1.817
-21.000 61.255 1.766
-19.967 61.129 1.445
-19.019 60.749 1.576
-39.875 59.822 1.128
-39.425 59.888 1.018
-36.785 60.301 0.890
-36.370 60.355 1.011
-24.785 60.384 1.536
-23.699 60.421 1.632
-23.205 60.002 1.605
-21.915 60.130 1.205
-18.547 60.462 1.730
-18.216 60.219 1.806
-59.845 59.081 1.288
-59.060 59.260 1.214
-48.255 58.582 1.057
-37.625 58.538 1.228
-37.000 58.716 1.307
-36.000 59.000 1.331
-35.170 59.235 0.939
-22.990 59.176 1.365
-22.495 59.280 1.862
-19.335 59.489 1.638
172.707 58.834 0.406
-140.050 58.333 -0.138
-57.670 57.879 0.552
-57.000 58.069 0.750
-49.520 57.795 -0.015
-49.350 57.857 0.297
-48.264 58.245 0.853
-43.535 57.925 1.196
-43.058 57.747 1.137
-42.096 57.680 1.089
-40.515 57.512 0.929
-39.000 58.148 1.099
-38.130 58.395 1.187
-23.995 57.612 1.769
-23.305 57.721 1.792
172.455 58.312 0.415
172.615 58.421 0.344
-175.005 56.509 -0.589
-147.685 57.280 -0.909
-146.545 56.911 0.060
-146.045 56.916 -0.027
-139.967 57.317 -0.294
-46.555 56.597 0.498
-46.495 56.714 0.068
-43.980 56.514 0.889
-43.137 56.896 1.118
-41.861 57.264 0.979
-41.003 57.308 0.928
-40.210 57.169 0.615
-31.780 57.476 1.592
-27.780 56.903 1.512
-25.685 57.322 1.884
172.360 56.762 -0.075
172.635 56.705 -0.219
178.435 57.369 -0.364
178.750 57.292 -0.314
-176.715 55.622 -0.501
-176.000 55.987 -0.486
-175.260 56.375 -0.535
-173.865 56.177 -0.560
-172.290 55.647 -0.449
-145.883 55.778 -0.105
-46.590 56.417 0.783
-45.898 56.267 1.006
-45.041 56.199 1.027
-43.969 56.235 0.945
-43.485 56.500 0.841
-41.605 56.422 0.932
-41.067 56.385 0.748
-40.000 56.240 0.397
-39.120 56.141 0.425
-30.653 56.157 1.335
-30.101 56.173 1.376
-28.745 56.095 1.603
-26.755 56.157 1.108
-26.185 56.159 1.062
168.390 56.393 -0.311
171.470 55.908 0.520
172.073 55.969 -0.005
173.001 55.969 -0.343
173.740 55.651 -0.305
-178.692 55.175 -0.310
-177.955 54.962 -0.664
-177.212 55.352 -0.566
-176.500 54.667 -0.266
-150.515 55.262 0.169
-150.155 55.211 0.141
-145.959 55.068 0.029
-142.510 54.502 -0.089
-142.001 54.664 -0.008
